"ft.idx","mz.precursor","rt","tissue03","tissue04","tissue05","tissue06","tissue07","tissue08","mz.product","int.product"
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,43.014934616819,8864
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,44.0464849207551,3697.5
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,45.030416269756,2294.5
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,53.0353608565444,3943
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,55.0513933341943,119552.5
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,56.0466741241042,54807
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,57.0301044238674,2239.5
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,57.0494050129472,1938
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,59.0462104797536,29423.5
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,72.0768047910303,3268.5
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,82.0609773365922,615
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,83.0453716533935,4118
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,100.072214791782,275
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,101.052936575387,1222.5
37,118.085434519171,681.44,60873,61362,58481,57434,58234,58382,101.055850333164,1467.5
